document_type_mysql,article_count,avg_rating_score,median_rating_score,total_estimated_value,avg_estimated_value,total_engagement_score,avg_content_length
scraped_html_paginated,500,0.15,0.15,19200.0,38.4,1200.0,15.0
scraped_json_api,435,0.13310344827586207,0.11,18201.6,41.84275862068965,926.4,13.310344827586206
scraped_html,125,0.15,0.15,4800.0,38.4,300.0,15.0
json,89,2.0728089887640446,2.6,673553.28,7568.014382022472,2951.68,207.2808988764045
word_run,56,1.3325,0.99,233380.98,4167.5175,1193.92,133.25
news_api,18,2.2572222222222225,2.6,157429.44,8746.08,650.08,225.72222222222223
pdf,18,6.415,6.415,1595002.5,88611.25,1857.78,651.0
pdf_two_column,18,6.800000000000001,6.8,4536932.4,252051.80000000002,2565.36,1242.0
excel,10,5.1,5.0,10315.619999999999,1031.562,523.62,18.7
ocr_pdf,10,9.405,9.405000000000001,1449015.0,144901.5,1512.0,952.5
excel_summary,9,0.15,0.15,345.59999999999997,38.4,21.599999999999998,15.0
word,9,10.0,10.0,1603341.0,178149.0,1483.2,1080.0
word_two_column,9,10.0,10.0,3593700.0,399300.0,1913.58,1877.0
encoding_test,7,3.0,3.0,101136.0,14448.0,336.0,300.0
ocr_image,5,8.43,8.43,569195.0,113839.0,674.4,843.0
