primary_category,article_count,avg_rating_score,median_rating_score,total_estimated_value,avg_estimated_value,median_estimated_value,max_estimated_value,total_engagement_score,avg_engagement_score,avg_popularity,total_content_length,median_content_length
pdf_two_column,18,6.800000000000001,6.8,4536932.4,252051.80000000002,252051.8,483310.0,2565.36,142.52,1242.0,22356,1242.0
word_two_column,9,10.0,10.0,3593700.0,399300.0,399300.0,399300.0,1913.58,212.62,1877.0,16893,1877.0
word,9,10.0,10.0,1603341.0,178149.0,178149.0,178149.0,1483.2,164.8,1080.0,9720,1080.0
pdf,18,6.415,6.415,1595002.5,88611.25,88611.25,164363.0,1857.78,103.21,651.0,11718,651.0
ocr_pdf,10,9.405,9.405000000000001,1449015.0,144901.5,144901.5,165476.0,1512.0,151.2,952.5,9525,952.5
json,89,2.0728089887640446,2.6,673553.28,7568.014382022472,10857.6,10857.6,2951.68,33.164943820224714,207.2808988764045,18448,260.0
ocr_image,5,8.43,8.43,569195.0,113839.0,113839.0,113839.0,674.4,134.88,843.0,4215,843.0
word_run,56,1.3325,0.99,233380.98,4167.5175,1718.56,12056.0,1193.92,21.32,133.25,7462,99.0
news_api,18,2.2572222222222225,2.6,157429.44,8746.08,10857.6,10857.6,650.08,36.11555555555556,225.72222222222223,4063,260.0
encoding_test,7,3.0,3.0,101136.0,14448.0,14448.0,14448.0,336.0,48.0,300.0,2100,300.0
scraped_html_paginated,500,0.15,0.15,19200.0,38.4,38.4,38.4,1200.0,2.4,15.0,7500,15.0
scraped_json_api,435,0.13310344827586207,0.11,18201.6,41.84275862068965,21.12,392.0,926.4,2.129655172413793,13.310344827586206,5790,11.0
scraped_html,125,0.15,0.15,4800.0,38.4,38.4,38.4,300.0,2.4,15.0,1875,15.0
business,3,4.333333333333333,4.0,2575.8,858.6,954.96,1216.52,134.36,44.78666666666667,25.333333333333332,56,18.0
politics,3,4.0,4.0,2455.67,818.5566666666667,669.6,1127.72,124.46000000000001,41.48666666666667,26.0,56,20.0
sports,2,6.0,6.0,2283.0299999999997,1141.5149999999999,1141.5149999999999,1362.87,122.85,61.425,25.0,35,17.5
technology,1,8.0,8.0,1783.32,1783.32,1783.32,1783.32,81.06,81.06,17.0,21,21.0
culture,1,6.0,6.0,1217.8,1217.8,1217.8,1217.8,60.89,60.89,14.0,19,19.0
excel_summary,9,0.15,0.15,345.59999999999997,38.4,38.4,38.4,21.599999999999998,2.4,15.0,135,15.0
