record_id,title,primary_category,document_type,source_name,published_date,published_year,rating_score,popularity,content_length,title_length,engagement_score,estimated_value
48,Untitled record,pdf_two_column,pdf_two_column,data/raw/pdf/news_two_column.pdf,,,10.0,2124.0,2124,15,227.44,483310.0
80,Untitled record,pdf_two_column,pdf_two_column,data/raw/pdf/news_two_column.pdf,,,10.0,2124.0,2124,15,227.44,483310.0
112,Untitled record,pdf_two_column,pdf_two_column,unknown,,,10.0,2124.0,2124,15,227.44,483310.0
152,Untitled record,pdf_two_column,pdf_two_column,unknown,,,10.0,2124.0,2124,15,227.44,483310.0
193,Untitled record,pdf_two_column,pdf_two_column,unknown,,,10.0,2124.0,2124,15,227.44,483310.0
449,Untitled record,pdf_two_column,pdf_two_column,unknown,,,10.0,2124.0,2124,15,227.44,483310.0
705,Untitled record,pdf_two_column,pdf_two_column,unknown,,,10.0,2124.0,2124,15,227.44,483310.0
961,Untitled record,pdf_two_column,pdf_two_column,unknown,,,10.0,2124.0,2124,15,227.44,483310.0
1217,Untitled record,pdf_two_column,pdf_two_column,unknown,,,10.0,2124.0,2124,15,227.44,483310.0
51,Untitled record,word_two_column,word_two_column,data/raw/word/news_two_column.docx,,,10.0,1877.0,1877,15,212.62,399300.0
83,Untitled record,word_two_column,word_two_column,data/raw/word/news_two_column.docx,,,10.0,1877.0,1877,15,212.62,399300.0
115,Untitled record,word_two_column,word_two_column,unknown,,,10.0,1877.0,1877,15,212.62,399300.0
155,Untitled record,word_two_column,word_two_column,unknown,,,10.0,1877.0,1877,15,212.62,399300.0
196,Untitled record,word_two_column,word_two_column,unknown,,,10.0,1877.0,1877,15,212.62,399300.0
452,Untitled record,word_two_column,word_two_column,unknown,,,10.0,1877.0,1877,15,212.62,399300.0
708,Untitled record,word_two_column,word_two_column,unknown,,,10.0,1877.0,1877,15,212.62,399300.0
964,Untitled record,word_two_column,word_two_column,unknown,,,10.0,1877.0,1877,15,212.62,399300.0
1220,Untitled record,word_two_column,word_two_column,unknown,,,10.0,1877.0,1877,15,212.62,399300.0
50,Untitled record,word,word,data/raw/word/news_normal.docx,,,10.0,1080.0,1080,15,164.8,178149.0
82,Untitled record,word,word,data/raw/word/news_normal.docx,,,10.0,1080.0,1080,15,164.8,178149.0
114,Untitled record,word,word,unknown,,,10.0,1080.0,1080,15,164.8,178149.0
154,Untitled record,word,word,unknown,,,10.0,1080.0,1080,15,164.8,178149.0
195,Untitled record,word,word,unknown,,,10.0,1080.0,1080,15,164.8,178149.0
451,Untitled record,word,word,unknown,,,10.0,1080.0,1080,15,164.8,178149.0
707,Untitled record,word,word,unknown,,,10.0,1080.0,1080,15,164.8,178149.0
963,Untitled record,word,word,unknown,,,10.0,1080.0,1080,15,164.8,178149.0
1219,Untitled record,word,word,unknown,,,10.0,1080.0,1080,15,164.8,178149.0
430,Untitled record,ocr_pdf,ocr_pdf,unknown,,,10.0,1024.0,1024,15,161.44,165476.0
686,Untitled record,ocr_pdf,ocr_pdf,unknown,,,10.0,1024.0,1024,15,161.44,165476.0
942,Untitled record,ocr_pdf,ocr_pdf,unknown,,,10.0,1024.0,1024,15,161.44,165476.0
1198,Untitled record,ocr_pdf,ocr_pdf,unknown,,,10.0,1024.0,1024,15,161.44,165476.0
1454,Untitled record,ocr_pdf,ocr_pdf,unknown,,,10.0,1024.0,1024,15,161.44,165476.0
46,Untitled record,pdf,pdf,data/raw/pdf/news_normal.pdf,,,10.0,1019.0,1019,15,161.14,164363.0
78,Untitled record,pdf,pdf,data/raw/pdf/news_normal.pdf,,,10.0,1019.0,1019,15,161.14,164363.0
110,Untitled record,pdf,pdf,unknown,,,10.0,1019.0,1019,15,161.14,164363.0
150,Untitled record,pdf,pdf,unknown,,,10.0,1019.0,1019,15,161.14,164363.0
191,Untitled record,pdf,pdf,unknown,,,10.0,1019.0,1019,15,161.14,164363.0
447,Untitled record,pdf,pdf,unknown,,,10.0,1019.0,1019,15,161.14,164363.0
703,Untitled record,pdf,pdf,unknown,,,10.0,1019.0,1019,15,161.14,164363.0
959,Untitled record,pdf,pdf,unknown,,,10.0,1019.0,1019,15,161.14,164363.0
1215,Untitled record,pdf,pdf,unknown,,,10.0,1019.0,1019,15,161.14,164363.0
431,Untitled record,ocr_pdf,ocr_pdf,unknown,,,8.81,881.0,881,15,140.96,124327.0
687,Untitled record,ocr_pdf,ocr_pdf,unknown,,,8.81,881.0,881,15,140.96,124327.0
