record_id,primary_category,analysis_year,document_type_mysql,metric,value
48,pdf_two_column,,pdf_two_column,popularity,2124.0
80,pdf_two_column,,pdf_two_column,popularity,2124.0
112,pdf_two_column,,pdf_two_column,popularity,2124.0
152,pdf_two_column,,pdf_two_column,popularity,2124.0
193,pdf_two_column,,pdf_two_column,popularity,2124.0
449,pdf_two_column,,pdf_two_column,popularity,2124.0
705,pdf_two_column,,pdf_two_column,popularity,2124.0
961,pdf_two_column,,pdf_two_column,popularity,2124.0
1217,pdf_two_column,,pdf_two_column,popularity,2124.0
51,word_two_column,,word_two_column,popularity,1877.0
83,word_two_column,,word_two_column,popularity,1877.0
115,word_two_column,,word_two_column,popularity,1877.0
155,word_two_column,,word_two_column,popularity,1877.0
196,word_two_column,,word_two_column,popularity,1877.0
452,word_two_column,,word_two_column,popularity,1877.0
708,word_two_column,,word_two_column,popularity,1877.0
964,word_two_column,,word_two_column,popularity,1877.0
1220,word_two_column,,word_two_column,popularity,1877.0
50,word,,word,popularity,1080.0
82,word,,word,popularity,1080.0
114,word,,word,popularity,1080.0
154,word,,word,popularity,1080.0
195,word,,word,popularity,1080.0
451,word,,word,popularity,1080.0
707,word,,word,popularity,1080.0
963,word,,word,popularity,1080.0
1219,word,,word,popularity,1080.0
430,ocr_pdf,,ocr_pdf,popularity,1024.0
686,ocr_pdf,,ocr_pdf,popularity,1024.0
942,ocr_pdf,,ocr_pdf,popularity,1024.0
1198,ocr_pdf,,ocr_pdf,popularity,1024.0
1454,ocr_pdf,,ocr_pdf,popularity,1024.0
46,pdf,,pdf,popularity,1019.0
78,pdf,,pdf,popularity,1019.0
110,pdf,,pdf,popularity,1019.0
150,pdf,,pdf,popularity,1019.0
191,pdf,,pdf,popularity,1019.0
447,pdf,,pdf,popularity,1019.0
703,pdf,,pdf,popularity,1019.0
959,pdf,,pdf,popularity,1019.0
1215,pdf,,pdf,popularity,1019.0
431,ocr_pdf,,ocr_pdf,popularity,881.0
687,ocr_pdf,,ocr_pdf,popularity,881.0
943,ocr_pdf,,ocr_pdf,popularity,881.0
1199,ocr_pdf,,ocr_pdf,popularity,881.0
1455,ocr_pdf,,ocr_pdf,popularity,881.0
429,ocr_image,,ocr_image,popularity,843.0
685,ocr_image,,ocr_image,popularity,843.0
941,ocr_image,,ocr_image,popularity,843.0
1197,ocr_image,,ocr_image,popularity,843.0
1453,ocr_image,,ocr_image,popularity,843.0
49,pdf_two_column,,pdf_two_column,popularity,360.0
81,pdf_two_column,,pdf_two_column,popularity,360.0
113,pdf_two_column,,pdf_two_column,popularity,360.0
153,pdf_two_column,,pdf_two_column,popularity,360.0
194,pdf_two_column,,pdf_two_column,popularity,360.0
450,pdf_two_column,,pdf_two_column,popularity,360.0
706,pdf_two_column,,pdf_two_column,popularity,360.0
962,pdf_two_column,,pdf_two_column,popularity,360.0
1218,pdf_two_column,,pdf_two_column,popularity,360.0
135,encoding_test,,encoding_test,popularity,300.0
175,encoding_test,,encoding_test,popularity,300.0
216,encoding_test,,encoding_test,popularity,300.0
472,encoding_test,,encoding_test,popularity,300.0
728,encoding_test,,encoding_test,popularity,300.0
984,encoding_test,,encoding_test,popularity,300.0
1240,encoding_test,,encoding_test,popularity,300.0
47,pdf,,pdf,popularity,283.0
79,pdf,,pdf,popularity,283.0
111,pdf,,pdf,popularity,283.0
151,pdf,,pdf,popularity,283.0
192,pdf,,pdf,popularity,283.0
448,pdf,,pdf,popularity,283.0
704,pdf,,pdf,popularity,283.0
960,pdf,,pdf,popularity,283.0
1216,pdf,,pdf,popularity,283.0
118,word_run,,word_run,popularity,274.0
158,word_run,,word_run,popularity,274.0
199,word_run,,word_run,popularity,274.0
455,word_run,,word_run,popularity,274.0
711,word_run,,word_run,popularity,274.0
967,word_run,,word_run,popularity,274.0
1223,word_run,,word_run,popularity,274.0
3,news_api,,news_api,popularity,260.0
4,news_api,,news_api,popularity,260.0
5,news_api,,news_api,popularity,260.0
6,news_api,,news_api,popularity,260.0
7,news_api,,news_api,popularity,260.0
10,news_api,,news_api,popularity,260.0
11,news_api,,news_api,popularity,260.0
12,news_api,,news_api,popularity,260.0
15,news_api,,news_api,popularity,260.0
16,news_api,,news_api,popularity,260.0
17,news_api,,news_api,popularity,260.0
18,news_api,,news_api,popularity,260.0
136,json,,json,popularity,260.0
137,json,,json,popularity,260.0
140,json,,json,popularity,260.0
144,json,,json,popularity,260.0
145,json,,json,popularity,260.0
146,json,,json,popularity,260.0
148,json,,json,popularity,260.0
177,json,,json,popularity,260.0
178,json,,json,popularity,260.0
179,json,,json,popularity,260.0
180,json,,json,popularity,260.0
182,json,,json,popularity,260.0
190,json,,json,popularity,260.0
433,json,,json,popularity,260.0
434,json,,json,popularity,260.0
438,json,,json,popularity,260.0
439,json,,json,popularity,260.0
440,json,,json,popularity,260.0
442,json,,json,popularity,260.0
446,json,,json,popularity,260.0
688,json,,json,popularity,260.0
689,json,,json,popularity,260.0
691,json,,json,popularity,260.0
692,json,,json,popularity,260.0
694,json,,json,popularity,260.0
695,json,,json,popularity,260.0
696,json,,json,popularity,260.0
698,json,,json,popularity,260.0
699,json,,json,popularity,260.0
701,json,,json,popularity,260.0
702,json,,json,popularity,260.0
947,json,,json,popularity,260.0
948,json,,json,popularity,260.0
949,json,,json,popularity,260.0
950,json,,json,popularity,260.0
951,json,,json,popularity,260.0
953,json,,json,popularity,260.0
1202,json,,json,popularity,260.0
1203,json,,json,popularity,260.0
1205,json,,json,popularity,260.0
1208,json,,json,popularity,260.0
1209,json,,json,popularity,260.0
1210,json,,json,popularity,260.0
1211,json,,json,popularity,260.0
1213,json,,json,popularity,260.0
119,word_run,,word_run,popularity,258.0
159,word_run,,word_run,popularity,258.0
200,word_run,,word_run,popularity,258.0
456,word_run,,word_run,popularity,258.0
712,word_run,,word_run,popularity,258.0
968,word_run,,word_run,popularity,258.0
1224,word_run,,word_run,popularity,258.0
956,json,,json,popularity,246.0
700,json,,json,popularity,244.0
955,json,,json,popularity,240.0
954,json,,json,popularity,235.0
9,news_api,,news_api,popularity,228.0
176,json,,json,popularity,228.0
2,news_api,,news_api,popularity,226.0
147,json,,json,popularity,210.0
142,json,,json,popularity,205.0
183,json,,json,popularity,199.0
187,json,,json,popularity,198.0
120,word_run,,word_run,popularity,194.0
160,word_run,,word_run,popularity,194.0
201,word_run,,word_run,popularity,194.0
457,word_run,,word_run,popularity,194.0
713,word_run,,word_run,popularity,194.0
969,word_run,,word_run,popularity,194.0
1225,word_run,,word_run,popularity,194.0
184,json,,json,popularity,193.0
946,json,,json,popularity,188.0
185,json,,json,popularity,186.0
432,json,,json,popularity,184.0
697,json,,json,popularity,184.0
143,json,,json,popularity,183.0
1,news_api,,news_api,popularity,181.0
693,json,,json,popularity,172.0
1201,json,,json,popularity,172.0
1204,json,,json,popularity,172.0
188,json,,json,popularity,171.0
441,json,,json,popularity,171.0
444,json,,json,popularity,157.0
1214,json,,json,popularity,155.0
138,json,,json,popularity,153.0
1200,json,,json,popularity,152.0
149,json,,json,popularity,147.0
944,json,,json,popularity,143.0
435,json,,json,popularity,142.0
690,json,,json,popularity,141.0
141,json,,json,popularity,135.0
443,json,,json,popularity,135.0
123,word_run,,word_run,popularity,128.0
163,word_run,,word_run,popularity,128.0
204,word_run,,word_run,popularity,128.0
460,word_run,,word_run,popularity,128.0
716,word_run,,word_run,popularity,128.0
972,word_run,,word_run,popularity,128.0
1228,word_run,,word_run,popularity,128.0
1212,json,,json,popularity,127.0
8,news_api,,news_api,popularity,125.0
436,json,,json,popularity,124.0
1207,json,,json,popularity,120.0
952,json,,json,popularity,110.0
186,json,,json,popularity,108.0
14,news_api,,news_api,popularity,107.0
57,technology,2026,excel,popularity,17.0
945,json,,json,popularity,101.0
958,json,,json,popularity,96.0
181,json,,json,popularity,92.0
60,sports,2026,excel,popularity,31.0
1206,json,,json,popularity,89.0
957,json,,json,popularity,88.0
56,culture,2026,excel,popularity,14.0
53,business,2026,excel,popularity,28.0
58,politics,2026,excel,popularity,21.0
59,business,2026,excel,popularity,26.0
13,news_api,,news_api,popularity,76.0
445,json,,json,popularity,76.0
54,sports,2026,excel,popularity,19.0
139,json,,json,popularity,73.0
117,word_run,,word_run,popularity,70.0
157,word_run,,word_run,popularity,70.0
198,word_run,,word_run,popularity,70.0
454,word_run,,word_run,popularity,70.0
710,word_run,,word_run,popularity,70.0
966,word_run,,word_run,popularity,70.0
1222,word_run,,word_run,popularity,70.0
437,json,,json,popularity,67.0
52,politics,2026,excel,popularity,34.0
55,politics,2026,excel,popularity,23.0
116,word_run,,word_run,popularity,50.0
156,word_run,,word_run,popularity,50.0
197,word_run,,word_run,popularity,50.0
453,word_run,,word_run,popularity,50.0
709,word_run,,word_run,popularity,50.0
965,word_run,,word_run,popularity,50.0
1221,word_run,,word_run,popularity,50.0
61,business,2026,excel,popularity,22.0
122,word_run,,word_run,popularity,49.0
162,word_run,,word_run,popularity,49.0
203,word_run,,word_run,popularity,49.0
363,scraped_json_api,,scraped_json_api,popularity,49.0
459,word_run,,word_run,popularity,49.0
