document_type_mysql,business,culture,encoding_test,excel_summary,json,news_api,ocr_image,ocr_pdf,pdf,pdf_two_column,politics,scraped_html,scraped_html_paginated,scraped_json_api,sports,technology,word,word_run,word_two_column,All
encoding_test,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
excel,4.333333333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,5.1
excel_summary,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
json,0.0,0.0,0.0,0.0,2.0728089887640446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0728089887640446
news_api,0.0,0.0,0.0,0.0,0.0,2.2572222222222225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2572222222222225
ocr_image,0.0,0.0,0.0,0.0,0.0,0.0,8.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.43
ocr_pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.405
pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.415
pdf_two_column,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.800000000000001
scraped_html,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
scraped_html_paginated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15
scraped_json_api,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13310344827586207,0.0,0.0,0.0,0.0,0.0,0.13310344827586207
word,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0
word_run,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3325,0.0,1.3325
word_two_column,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
All,4.333333333333333,6.0,3.0,0.15,2.0728089887640446,2.2572222222222225,8.43,9.405,6.415,6.800000000000001,4.0,0.15,0.15,0.13310344827586207,6.0,8.0,10.0,1.3325,10.0,0.8185128983308042
