rank,id,distance,similarity_score,document,category,year,source_name,title,popularity,rating_score,language,document_type,content_length,filter_name
1,record_53,0.45216912031173706,0.5478308796882629,Title: AI Market Growth | Content: AI Market Growth | Category: business | Document type: excel | Source: reuters | Language: unknown,business,2026,reuters,AI Market Growth,28.0,7.0,unknown,excel,16,$eq category business
2,record_59,0.7459511756896973,0.25404882431030273,Title: Streaming Rights Watch | Content: Streaming Rights Watch | Category: business | Document type: excel | Source: financial times | Language: unknown,business,2026,financial times,Streaming Rights Watch,26.0,4.0,unknown,excel,22,$eq category business
3,record_61,0.8224447965621948,0.17755520343780518,Title: Inflation Briefing | Content: Inflation Briefing | Category: business | Document type: excel | Source: al jazeera | Language: unknown,business,2026,al jazeera,Inflation Briefing,22.0,2.0,unknown,excel,18,$eq category business
1,record_53,0.45216912031173706,0.5478308796882629,Title: AI Market Growth | Content: AI Market Growth | Category: business | Document type: excel | Source: reuters | Language: unknown,business,2026,reuters,AI Market Growth,28.0,7.0,unknown,excel,16,$gte year 2026
2,record_59,0.7459511756896973,0.25404882431030273,Title: Streaming Rights Watch | Content: Streaming Rights Watch | Category: business | Document type: excel | Source: financial times | Language: unknown,business,2026,financial times,Streaming Rights Watch,26.0,4.0,unknown,excel,22,$gte year 2026
3,record_57,0.8116194009780884,0.18838059902191162,Title: München Startup Round | Content: München Startup Round | Category: technology | Document type: excel | Source: dw | Language: unknown,technology,2026,dw,München Startup Round,17.0,8.0,unknown,excel,21,$gte year 2026
4,record_61,0.8224447965621948,0.17755520343780518,Title: Inflation Briefing | Content: Inflation Briefing | Category: business | Document type: excel | Source: al jazeera | Language: unknown,business,2026,al jazeera,Inflation Briefing,22.0,2.0,unknown,excel,18,$gte year 2026
5,record_56,0.8369174003601074,0.16308259963989258,Title: Café Culture Trends | Content: Café Culture Trends | Category: culture | Document type: excel | Source: le monde | Language: unknown,culture,2026,le monde,Café Culture Trends,14.0,6.0,unknown,excel,19,$gte year 2026
1,record_53,0.45216912031173706,0.5478308796882629,Title: AI Market Growth | Content: AI Market Growth | Category: business | Document type: excel | Source: reuters | Language: unknown,business,2026,reuters,AI Market Growth,28.0,7.0,unknown,excel,16,$in selected categories
2,record_59,0.7459511756896973,0.25404882431030273,Title: Streaming Rights Watch | Content: Streaming Rights Watch | Category: business | Document type: excel | Source: financial times | Language: unknown,business,2026,financial times,Streaming Rights Watch,26.0,4.0,unknown,excel,22,$in selected categories
3,record_57,0.8116194009780884,0.18838059902191162,Title: München Startup Round | Content: München Startup Round | Category: technology | Document type: excel | Source: dw | Language: unknown,technology,2026,dw,München Startup Round,17.0,8.0,unknown,excel,21,$in selected categories
4,record_61,0.8224447965621948,0.17755520343780518,Title: Inflation Briefing | Content: Inflation Briefing | Category: business | Document type: excel | Source: al jazeera | Language: unknown,business,2026,al jazeera,Inflation Briefing,22.0,2.0,unknown,excel,18,$in selected categories
5,record_52,0.9244918823242188,0.07550811767578125,Title: Election Update | Content: Election Update | Category: politics | Document type: excel | Source: bbc | Language: unknown,politics,2026,bbc,Election Update,34.0,4.0,unknown,excel,15,$in selected categories
1,record_53,0.45216912031173706,0.5478308796882629,Title: AI Market Growth | Content: AI Market Growth | Category: business | Document type: excel | Source: reuters | Language: unknown,business,2026,reuters,AI Market Growth,28.0,7.0,unknown,excel,16,$and business and rating >= 5
1,record_60,0.8803722262382507,0.11962777376174927,Title: Weekend Match Buzz | Content: Weekend Match Buzz | Category: sports | Document type: excel | Source: espn | Language: unknown,sports,2026,espn,Weekend Match Buzz,31.0,7.0,unknown,excel,18,$or climate or sports
2,record_52,0.9244918823242188,0.07550811767578125,Title: Election Update | Content: Election Update | Category: politics | Document type: excel | Source: bbc | Language: unknown,politics,2026,bbc,Election Update,34.0,4.0,unknown,excel,15,$or climate or sports
3,record_54,0.9249914884567261,0.07500851154327393,Title: Sports Highlights | Content: Sports Highlights | Category: sports | Document type: excel | Source: cnn | Language: unknown,sports,2026,cnn,Sports Highlights,19.0,5.0,unknown,excel,17,$or climate or sports
4,record_58,0.9304397106170654,0.06956028938293457,Title: Žurnal Election Pulse | Content: Žurnal Election Pulse | Category: politics | Document type: excel | Source: žurnal | Language: unknown,politics,2026,žurnal,Žurnal Election Pulse,21.0,5.0,unknown,excel,21,$or climate or sports
5,record_55,0.953796923160553,0.04620307683944702,Title: Climate Policy Shift | Content: Climate Policy Shift | Category: politics | Document type: excel | Source: ap | Language: unknown,politics,2026,ap,Climate Policy Shift,23.0,3.0,unknown,excel,20,$or climate or sports
