record_id,title,content_text,category,document_type
52,Election Update,Election Update,Politics,excel
53,AI Market Growth,AI Market Growth,Business,excel
54,Sports Highlights,Sports Highlights,Sports,excel
55,Climate Policy Shift,Climate Policy Shift,Politics,excel
56,Café Culture Trends,Café Culture Trends,Culture,excel
57,München Startup Round,München Startup Round,Technology,excel
58,Žurnal Election Pulse,Žurnal Election Pulse,Politics,excel
59,Streaming Rights Watch,Streaming Rights Watch,Business,excel
60,Weekend Match Buzz,Weekend Match Buzz,Sports,excel
61,Inflation Briefing,Inflation Briefing,Business,excel
62,Untitled record,Untitled record,excel_summary,excel_summary
84,Election Update,Election Update,Politics,excel
85,AI Market Growth,AI Market Growth,Business,excel
86,Sports Highlights,Sports Highlights,Sports,excel
87,Climate Policy Shift,Climate Policy Shift,Politics,excel
88,Café Culture Trends,Café Culture Trends,Culture,excel
89,München Startup Round,München Startup Round,Technology,excel
90,Žurnal Election Pulse,Žurnal Election Pulse,Politics,excel
91,Streaming Rights Watch,Streaming Rights Watch,Business,excel
92,Weekend Match Buzz,Weekend Match Buzz,Sports,excel
93,Inflation Briefing,Inflation Briefing,Business,excel
94,Untitled record,Untitled record,excel_summary,excel_summary
124,Election Update,Election Update,Politics,excel
125,AI Market Growth,AI Market Growth,Business,excel
126,Sports Highlights,Sports Highlights,Sports,excel
127,Climate Policy Shift,Climate Policy Shift,Politics,excel
128,Café Culture Trends,Café Culture Trends,Culture,excel
129,München Startup Round,München Startup Round,Technology,excel
130,Žurnal Election Pulse,Žurnal Election Pulse,Politics,excel
131,Streaming Rights Watch,Streaming Rights Watch,Business,excel
132,Weekend Match Buzz,Weekend Match Buzz,Sports,excel
133,Inflation Briefing,Inflation Briefing,Business,excel
134,Untitled record,Untitled record,excel_summary,excel_summary
164,Election Update,Election Update,Politics,excel
165,AI Market Growth,AI Market Growth,Business,excel
166,Sports Highlights,Sports Highlights,Sports,excel
167,Climate Policy Shift,Climate Policy Shift,Politics,excel
168,Café Culture Trends,Café Culture Trends,Culture,excel
169,München Startup Round,München Startup Round,Technology,excel
170,Žurnal Election Pulse,Žurnal Election Pulse,Politics,excel
171,Streaming Rights Watch,Streaming Rights Watch,Business,excel
172,Weekend Match Buzz,Weekend Match Buzz,Sports,excel
173,Inflation Briefing,Inflation Briefing,Business,excel
174,Untitled record,Untitled record,excel_summary,excel_summary
189,"Student Asked His Tech Savvy Friend To Permanently Disable A School Chromebook Before Teachers Could Inspect It, So The Friend Used The Opportunity To Settle An Old Score And Fried The Laptop Completely",Revenge is a dish best served fried.,json,json
205,Election Update,Election Update,Politics,excel
206,AI Market Growth,AI Market Growth,Business,excel
207,Sports Highlights,Sports Highlights,Sports,excel
208,Climate Policy Shift,Climate Policy Shift,Politics,excel
209,Café Culture Trends,Café Culture Trends,Culture,excel
210,München Startup Round,München Startup Round,Technology,excel
211,Žurnal Election Pulse,Žurnal Election Pulse,Politics,excel
212,Streaming Rights Watch,Streaming Rights Watch,Business,excel
213,Weekend Match Buzz,Weekend Match Buzz,Sports,excel
