record_id,source_name,author,title,description,url,publishedAt,source_path,fetched_at,version,document_type,file_name,page_number,extraction_timestamp,extraction_library,text,tables,id,category,published_date,mentions,sentiment_score,sheet_name,Metric,Total Articles,Total Mentions,Average Mentions,Average Sentiment,Highest Mentions,Politics Articles,Business Articles,paragraph_number,run_number,bold,italic,underline,preview_text,name,year,wins,losses,nominations,awards,best_picture,raw_text,processed_text,content_text,language,published_year,content_length,title_length,rating_score,overview,genres,popularity,release_date,release_year,original_language,vote_average,vote_count
2,The Punch,Punch Newspapers,SWDC partners FTID to boost S’West rural devt,"The South-West Development Commission (SWDC) and FTID partner to boost South-West rural development, focusing on food production and infrastructure.

Read More: https://punchng.com/swdc-partners-ftid-to-boost-swest-rural-devt/",https://punchng.com/swdc-partners-ftid-to-boost-swest-rural-devt/,2026-03-18T02:34:47Z,,,,news_api,,,,,,,,news_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The South-West Development Commission (SWDC) and FTID partner to boost South-West rural development, focusing on food production and infrastructure.

Read More: https://punchng.com/swdc-partners-ftid-to-boost-swest-rural-devt/",unknown,,226,45,2.26,"The South-West Development Commission (SWDC) and FTID partner to boost South-West rural development, focusing on food production and infrastructure.

Read More: https://punchng.com/swdc-partners-ftid-to-boost-swest-rural-devt/",news_api,226.0,,,unknown,2.26,1.0
3,The Times of India,TOI Education,"GATE 2026 final answer key not released yet, results likely to be out tomorrow: Check details here","The Indian Institute of Technology Guwahati has clarified that the GATE 2026 final answer key has not yet been released, dismissing reports claiming otherwise. Candidates have been advised to rely only on official updates on the GATE portals. The result is ex…",https://timesofindia.indiatimes.com/education/news/gate-2026-final-answer-key-not-released-yet-results-likely-to-be-out-tomorrow-check-details-here/articleshow/129645610.cms,2026-03-18T02:31:14Z,,,,news_api,,,,,,,,news_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Indian Institute of Technology Guwahati has clarified that the GATE 2026 final answer key has not yet been released, dismissing reports claiming otherwise. Candidates have been advised to rely only on official updates on the GATE portals. The result is ex…",unknown,,260,98,2.6,"The Indian Institute of Technology Guwahati has clarified that the GATE 2026 final answer key has not yet been released, dismissing reports claiming otherwise. Candidates have been advised to rely only on official updates on the GATE portals. The result is ex…",news_api,260.0,,,unknown,2.6,1.0
4,Financial Post,Business Wire,LTM Named NVIDIA Partner Network ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026,"MUMBAI, India — LTM, the Business Creativity partner to the world’s largest enterprises, has been recognized as the NVIDIA Partner Network (NPN) ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026. The award recognizes LTM’s strong collaboration w…",https://financialpost.com/pmn/business-wire-news-releases-pmn/ltm-named-nvidia-partner-network-rising-star-consulting-partner-of-the-year-at-nvidia-gtc-2026,2026-03-18T02:30:15Z,,,,news_api,,,,,,,,news_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MUMBAI, India — LTM, the Business Creativity partner to the world’s largest enterprises, has been recognized as the NVIDIA Partner Network (NPN) ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026. The award recognizes LTM’s strong collaboration w…",unknown,,260,96,2.6,"MUMBAI, India — LTM, the Business Creativity partner to the world’s largest enterprises, has been recognized as the NVIDIA Partner Network (NPN) ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026. The award recognizes LTM’s strong collaboration w…",news_api,260.0,,,unknown,2.6,1.0
5,CNA,,"Asian stocks rally as oil retreats, Fed in spotlight","SYDNEY, March 18 : Asian shares rallied on Wednesday as oil prices paused their gains, with markets turning to the U.S. Federal Reserve meeting to see how policymakers will balance growth and inflation risks amid ongoing geopolitical tensions in the Middle Ea…",https://www.channelnewsasia.com/business/asian-stocks-rally-oil-retreats-fed-in-spotlight-6000501,2026-03-18T02:27:11Z,,,,news_api,,,,,,,,news_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYDNEY, March 18 : Asian shares rallied on Wednesday as oil prices paused their gains, with markets turning to the U.S. Federal Reserve meeting to see how policymakers will balance growth and inflation risks amid ongoing geopolitical tensions in the Middle Ea…",unknown,,260,52,2.6,"SYDNEY, March 18 : Asian shares rallied on Wednesday as oil prices paused their gains, with markets turning to the U.S. Federal Reserve meeting to see how policymakers will balance growth and inflation risks amid ongoing geopolitical tensions in the Middle Ea…",news_api,260.0,,,unknown,2.6,1.0
6,The Times of India,Reuters,Trump administration defends Anthropic blacklisting in US court,"Defense Secretary Pete Hegseth designated Anthropic, the maker of popular AI assistant Claude, a national security supply chain risk on March 3 after the company refused to remove guardrails ‌against its ⁠technology being ⁠used for autonomous weapons or domes…",https://economictimes.indiatimes.com/tech/tech-bytes/trump-administration-defends-anthropic-blacklisting-in-us-court/articleshow/129645468.cms,2026-03-18T02:16:55Z,,,,news_api,,,,,,,,news_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Defense Secretary Pete Hegseth designated Anthropic, the maker of popular AI assistant Claude, a national security supply chain risk on March 3 after the company refused to remove guardrails ‌against its ⁠technology being ⁠used for autonomous weapons or domes…",unknown,,260,63,2.6,"Defense Secretary Pete Hegseth designated Anthropic, the maker of popular AI assistant Claude, a national security supply chain risk on March 3 after the company refused to remove guardrails ‌against its ⁠technology being ⁠used for autonomous weapons or domes…",news_api,260.0,,,unknown,2.6,1.0
7,Khabarhub.com,Khabarhub,Economic Digest: Nepal’s Business News in a Snap,"KATHMANDU: Economic Digest offers a concise yet comprehensive overview of significant business happenings in Nepal, presented in easily digestible summaries. Nepal’s latest economic signals reflect a mixed and structurally strained landscape: while the Nepal …",https://english.khabarhub.com/2026/18/539763/,2026-03-18T02:15:20Z,,,,news_api,,,,,,,,news_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KATHMANDU: Economic Digest offers a concise yet comprehensive overview of significant business happenings in Nepal, presented in easily digestible summaries. Nepal’s latest economic signals reflect a mixed and structurally strained landscape: while the Nepal …",unknown,,260,48,2.6,"KATHMANDU: Economic Digest offers a concise yet comprehensive overview of significant business happenings in Nepal, presented in easily digestible summaries. Nepal’s latest economic signals reflect a mixed and structurally strained landscape: while the Nepal …",news_api,260.0,,,unknown,2.6,1.0
9,The Times of India,Reuters,"Nvidia preparing Groq chips that can be sold in Chinese market, sources say","Nvidia licensed technology from Groq, an AI chip startup, late last year in ‌a $17 billion deal ⁠and ⁠showed a new lineup of products based around its chips at its annual developer conference in San ​Jose, California, this week.",https://economictimes.indiatimes.com/tech/artificial-intelligence/nvidia-preparing-groq-chips-that-can-be-sold-in-chinese-market-sources-say/articleshow/129645442.cms,2026-03-18T02:14:50Z,,,,news_api,,,,,,,,news_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nvidia licensed technology from Groq, an AI chip startup, late last year in ‌a $17 billion deal ⁠and ⁠showed a new lineup of products based around its chips at its annual developer conference in San ​Jose, California, this week.",unknown,,228,75,2.28,"Nvidia licensed technology from Groq, an AI chip startup, late last year in ‌a $17 billion deal ⁠and ⁠showed a new lineup of products based around its chips at its annual developer conference in San ​Jose, California, this week.",news_api,228.0,,,unknown,2.28,1.0
10,Rlsbb.to,OMEGA,Heroes of Science and Fiction-TENOKE,"Release Description:Explore what's left on the planets and secure important resources. Use them to upgrade your bases with advanced technology and to hire massive armies. Play as several different factions, recruit skilled commanders, teach them new skills an…",https://post.rlsbb.to/heroes-of-science-and-fiction-tenoke/,2026-03-18T02:14:48Z,,,,news_api,,,,,,,,news_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Release Description:Explore what's left on the planets and secure important resources. Use them to upgrade your bases with advanced technology and to hire massive armies. Play as several different factions, recruit skilled commanders, teach them new skills an…",unknown,,260,36,2.6,"Release Description:Explore what's left on the planets and secure important resources. Use them to upgrade your bases with advanced technology and to hire massive armies. Play as several different factions, recruit skilled commanders, teach them new skills an…",news_api,260.0,,,unknown,2.6,1.0
11,Thechronicle.com.gh,JENNIFER AMBOLLEY,Ghana’s Mining Investment Ranking Tumbles …Jinapor Expresses Concern,"Ghana’s standing as a preferred destination for mining investment has come under renewed scrutiny, following a significant drop in the latest Global Mining Investment Attractiveness Index, prompting concern from the country’s immediate past Minister for Lands…",https://thechronicle.com.gh/ghanas-mining-investment-ranking-tumbles-jinapor-expresses-concern/,2026-03-18T02:12:35Z,,,,news_api,,,,,,,,news_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ghana’s standing as a preferred destination for mining investment has come under renewed scrutiny, following a significant drop in the latest Global Mining Investment Attractiveness Index, prompting concern from the country’s immediate past Minister for Lands…",unknown,,260,68,2.6,"Ghana’s standing as a preferred destination for mining investment has come under renewed scrutiny, following a significant drop in the latest Global Mining Investment Attractiveness Index, prompting concern from the country’s immediate past Minister for Lands…",news_api,260.0,,,unknown,2.6,1.0
12,Thechronicle.com.gh,JOHN BEDIAKO,"I’ll Model Ghana Police After Scotland Yard, NYPD –IGP","The Inspector General of Police (IGP), Mr Christian Tetteh Yohuno, has revealed his vision to transform the Ghana Police Service into a world class institution, drawing inspiration from the New York Police Department (NYPD) and Scotland Yard. In an exclusive …",https://thechronicle.com.gh/ill-model-ghana-police-after-scotland-yard-nypd-igp/,2026-03-18T02:10:22Z,,,,news_api,,,,,,,,news_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Inspector General of Police (IGP), Mr Christian Tetteh Yohuno, has revealed his vision to transform the Ghana Police Service into a world class institution, drawing inspiration from the New York Police Department (NYPD) and Scotland Yard. In an exclusive …",unknown,,260,54,2.6,"The Inspector General of Police (IGP), Mr Christian Tetteh Yohuno, has revealed his vision to transform the Ghana Police Service into a world class institution, drawing inspiration from the New York Police Department (NYPD) and Scotland Yard. In an exclusive …",news_api,260.0,,,unknown,2.6,1.0
15,Globalresearch.ca,Mark Keenan,A New Study Challenges the Climate Establishment’s Key Warming Metric,"For years the public has been told that the science of climate change is settled. Governments, media outlets, and international organizations frequently assert that the evidence for dangerous planetary warming is overwhelming.
Yet one of the most important me…",https://www.globalresearch.ca/new-study-challenges-climate-establishment-key-warming-metric/5919080,2026-03-18T02:03:29Z,,,,news_api,,,,,,,,news_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,"For years the public has been told that the science of climate change is settled. Governments, media outlets, and international organizations frequently assert that the evidence for dangerous planetary warming is overwhelming.
Yet one of the most important me…",unknown,,260,69,2.6,"For years the public has been told that the science of climate change is settled. Governments, media outlets, and international organizations frequently assert that the evidence for dangerous planetary warming is overwhelming.
Yet one of the most important me…",news_api,260.0,,,unknown,2.6,1.0
16,Paul Tan's Automotive News,Gerard Lye,Tesla sued for USD1 million after Cybertruck nearly drives off Houston overpass while FSD mode engaged,"A woman from Houston, Texas is suing Tesla for USD1 million after a terrifying incident which she claimed put her and her one-year-old child’s lives in danger, KHOU reports. The incident, which happened in August […]
The post Tesla sued for USD1 million after…",https://paultan.org/2026/03/18/tesla-gets-sued-for-fsd-crash-in-texas/,2026-03-18T02:50:13Z,,,,news_api,,,,,,,,news_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A woman from Houston, Texas is suing Tesla for USD1 million after a terrifying incident which she claimed put her and her one-year-old child’s lives in danger, KHOU reports. The incident, which happened in August […]
The post Tesla sued for USD1 million after…",unknown,,260,102,2.6,"A woman from Houston, Texas is suing Tesla for USD1 million after a terrifying incident which she claimed put her and her one-year-old child’s lives in danger, KHOU reports. The incident, which happened in August […]
The post Tesla sued for USD1 million after…",news_api,260.0,,,unknown,2.6,1.0
17,The Times of India,Reuters,"Global Market | Nikkei jumps nearly 2% as AI, chip stocks rally","Japan's Nikkei index surged on Wednesday, driven by technology stocks. Investors eased worries about rising oil prices, boosting market sentiment. Advantest and SoftBank Group saw significant gains. Shipping firm Mitsui OSK Lines and Mitsubishi Materials also…",https://economictimes.indiatimes.com/markets/us-stocks/news/global-market-nikkei-jumps-nearly-2-as-ai-chip-stocks-rally/articleshow/129645867.cms,2026-03-18T02:48:36Z,,,,news_api,,,,,,,,news_api,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Japan's Nikkei index surged on Wednesday, driven by technology stocks. Investors eased worries about rising oil prices, boosting market sentiment. Advantest and SoftBank Group saw significant gains. Shipping firm Mitsui OSK Lines and Mitsubishi Materials also…",unknown,,260,63,2.6,"Japan's Nikkei index surged on Wednesday, driven by technology stocks. Investors eased worries about rising oil prices, boosting market sentiment. Advantest and SoftBank Group saw significant gains. Shipping firm Mitsui OSK Lines and Mitsubishi Materials also…",news_api,260.0,,,unknown,2.6,1.0
