record_id,source_name,author,title,description,url,publishedAt,source_path,fetched_at,version,document_type,file_name,page_number,extraction_timestamp,extraction_library,text,tables,id,category,published_date,mentions,sentiment_score,sheet_name,Metric,Total Articles,Total Mentions,Average Mentions,Average Sentiment,Highest Mentions,Politics Articles,Business Articles,paragraph_number,run_number,bold,italic,underline,preview_text,name,year,wins,losses,nominations,awards,best_picture,raw_text,processed_text,content_text,language,published_year,content_length,title_length,rating_score,overview,genres,popularity,release_date,release_year,original_language,vote_average,vote_count
53,Reuters,,AI Market Growth,,,,,,,excel,news_data.xlsx,,2026-04-01 02:10:53.221482,openpyxl,,,2.0,Business,2026-03-21,28.0,0.7,Articles,,,,,,,,,,,,,,,,,,,,,,,,AI Market Growth,unknown,2026.0,16,16,7.0,AI Market Growth,Business,28.0,2026-03-21,2026.0,unknown,7.0,28.0
60,ESPN,,Weekend Match Buzz,,,,,,,excel,news_data.xlsx,,2026-04-01 02:10:53.221640,openpyxl,,,9.0,Sports,2026-03-24,31.0,0.7,Articles,,,,,,,,,,,,,,,,,,,,,,,,Weekend Match Buzz,unknown,2026.0,18,18,7.0,Weekend Match Buzz,Sports,31.0,2026-03-24,2026.0,unknown,7.0,31.0
85,Reuters,,AI Market Growth,,,,,,,excel,news_data.xlsx,,2026-04-01 02:14:43.534247,openpyxl,,,2.0,Business,2026-03-21,28.0,0.7,Articles,,,,,,,,,,,,,,,,,,,,,,,,AI Market Growth,unknown,2026.0,16,16,7.0,AI Market Growth,Business,28.0,2026-03-21,2026.0,unknown,7.0,28.0
92,ESPN,,Weekend Match Buzz,,,,,,,excel,news_data.xlsx,,2026-04-01 02:14:43.534309,openpyxl,,,9.0,Sports,2026-03-24,31.0,0.7,Articles,,,,,,,,,,,,,,,,,,,,,,,,Weekend Match Buzz,unknown,2026.0,18,18,7.0,Weekend Match Buzz,Sports,31.0,2026-03-24,2026.0,unknown,7.0,31.0
125,Reuters,,AI Market Growth,,,,data/raw/excel/news_data.xlsx,2026-04-01 02:26:18.863,1.0,excel,news_data.xlsx,,2026-04-01 02:26:18.861984,openpyxl,,,2.0,Business,2026-03-21,28.0,0.7,Articles,,,,,,,,,,,,,,,,,,,,,,,,AI Market Growth,unknown,2026.0,16,16,7.0,AI Market Growth,Business,28.0,2026-03-21,2026.0,unknown,7.0,28.0
132,ESPN,,Weekend Match Buzz,,,,data/raw/excel/news_data.xlsx,2026-04-01 02:26:18.866,1.0,excel,news_data.xlsx,,2026-04-01 02:26:18.862043,openpyxl,,,9.0,Sports,2026-03-24,31.0,0.7,Articles,,,,,,,,,,,,,,,,,,,,,,,,Weekend Match Buzz,unknown,2026.0,18,18,7.0,Weekend Match Buzz,Sports,31.0,2026-03-24,2026.0,unknown,7.0,31.0
165,Reuters,,AI Market Growth,,,,data/raw/excel/news_data.xlsx,2026-04-01 02:31:18.329,1.0,excel,news_data.xlsx,,2026-04-01 02:31:18.328505,openpyxl,,,2.0,Business,2026-03-21,28.0,0.7,Articles,,,,,,,,,,,,,,,,,,,,,,,,AI Market Growth,unknown,2026.0,16,16,7.0,AI Market Growth,Business,28.0,2026-03-21,2026.0,unknown,7.0,28.0
172,ESPN,,Weekend Match Buzz,,,,data/raw/excel/news_data.xlsx,2026-04-01 02:31:18.341,1.0,excel,news_data.xlsx,,2026-04-01 02:31:18.328562,openpyxl,,,9.0,Sports,2026-03-24,31.0,0.7,Articles,,,,,,,,,,,,,,,,,,,,,,,,Weekend Match Buzz,unknown,2026.0,18,18,7.0,Weekend Match Buzz,Sports,31.0,2026-03-24,2026.0,unknown,7.0,31.0
206,Reuters,,AI Market Growth,,,,data/raw/excel/news_data.xlsx,2026-04-06 00:28:10.842,1.0,excel,news_data.xlsx,,2026-04-06 00:28:10.841806,openpyxl,,,2.0,Business,2026-03-21,28.0,0.7,Articles,,,,,,,,,,,,,,,,,,,,,,,,AI Market Growth,unknown,2026.0,16,16,7.0,AI Market Growth,Business,28.0,2026-03-21,2026.0,unknown,7.0,28.0
213,ESPN,,Weekend Match Buzz,,,,data/raw/excel/news_data.xlsx,2026-04-06 00:28:10.849,1.0,excel,news_data.xlsx,,2026-04-06 00:28:10.841863,openpyxl,,,9.0,Sports,2026-03-24,31.0,0.7,Articles,,,,,,,,,,,,,,,,,,,,,,,,Weekend Match Buzz,unknown,2026.0,18,18,7.0,Weekend Match Buzz,Sports,31.0,2026-03-24,2026.0,unknown,7.0,31.0
