record_id,title,document_type,category,rating_score,content_length
46,Untitled record,pdf,pdf,10.0,1019
48,Untitled record,pdf_two_column,pdf_two_column,10.0,2124
50,Untitled record,word,word,10.0,1080
51,Untitled record,word_two_column,word_two_column,10.0,1877
53,AI Market Growth,excel,Business,7.0,16
57,München Startup Round,excel,Technology,8.0,21
60,Weekend Match Buzz,excel,Sports,7.0,18
78,Untitled record,pdf,pdf,10.0,1019
80,Untitled record,pdf_two_column,pdf_two_column,10.0,2124
82,Untitled record,word,word,10.0,1080
83,Untitled record,word_two_column,word_two_column,10.0,1877
85,AI Market Growth,excel,Business,7.0,16
89,München Startup Round,excel,Technology,8.0,21
92,Weekend Match Buzz,excel,Sports,7.0,18
110,Untitled record,pdf,pdf,10.0,1019
112,Untitled record,pdf_two_column,pdf_two_column,10.0,2124
114,Untitled record,word,word,10.0,1080
115,Untitled record,word_two_column,word_two_column,10.0,1877
125,AI Market Growth,excel,Business,7.0,16
129,München Startup Round,excel,Technology,8.0,21
132,Weekend Match Buzz,excel,Sports,7.0,18
150,Untitled record,pdf,pdf,10.0,1019
152,Untitled record,pdf_two_column,pdf_two_column,10.0,2124
154,Untitled record,word,word,10.0,1080
155,Untitled record,word_two_column,word_two_column,10.0,1877
165,AI Market Growth,excel,Business,7.0,16
169,München Startup Round,excel,Technology,8.0,21
172,Weekend Match Buzz,excel,Sports,7.0,18
191,Untitled record,pdf,pdf,10.0,1019
193,Untitled record,pdf_two_column,pdf_two_column,10.0,2124
195,Untitled record,word,word,10.0,1080
196,Untitled record,word_two_column,word_two_column,10.0,1877
206,AI Market Growth,excel,Business,7.0,16
210,München Startup Round,excel,Technology,8.0,21
213,Weekend Match Buzz,excel,Sports,7.0,18
429,Untitled record,ocr_image,ocr_image,8.43,843
430,Untitled record,ocr_pdf,ocr_pdf,10.0,1024
431,Untitled record,ocr_pdf,ocr_pdf,8.81,881
447,Untitled record,pdf,pdf,10.0,1019
449,Untitled record,pdf_two_column,pdf_two_column,10.0,2124
451,Untitled record,word,word,10.0,1080
452,Untitled record,word_two_column,word_two_column,10.0,1877
462,AI Market Growth,excel,Business,7.0,16
466,München Startup Round,excel,Technology,8.0,21
469,Weekend Match Buzz,excel,Sports,7.0,18
685,Untitled record,ocr_image,ocr_image,8.43,843
686,Untitled record,ocr_pdf,ocr_pdf,10.0,1024
687,Untitled record,ocr_pdf,ocr_pdf,8.81,881
703,Untitled record,pdf,pdf,10.0,1019
705,Untitled record,pdf_two_column,pdf_two_column,10.0,2124
707,Untitled record,word,word,10.0,1080
708,Untitled record,word_two_column,word_two_column,10.0,1877
718,AI Market Growth,excel,Business,7.0,16
722,München Startup Round,excel,Technology,8.0,21
725,Weekend Match Buzz,excel,Sports,7.0,18
941,Untitled record,ocr_image,ocr_image,8.43,843
942,Untitled record,ocr_pdf,ocr_pdf,10.0,1024
943,Untitled record,ocr_pdf,ocr_pdf,8.81,881
959,Untitled record,pdf,pdf,10.0,1019
961,Untitled record,pdf_two_column,pdf_two_column,10.0,2124
963,Untitled record,word,word,10.0,1080
964,Untitled record,word_two_column,word_two_column,10.0,1877
974,AI Market Growth,excel,Business,7.0,16
978,München Startup Round,excel,Technology,8.0,21
981,Weekend Match Buzz,excel,Sports,7.0,18
1197,Untitled record,ocr_image,ocr_image,8.43,843
1198,Untitled record,ocr_pdf,ocr_pdf,10.0,1024
1199,Untitled record,ocr_pdf,ocr_pdf,8.81,881
1215,Untitled record,pdf,pdf,10.0,1019
1217,Untitled record,pdf_two_column,pdf_two_column,10.0,2124
1219,Untitled record,word,word,10.0,1080
1220,Untitled record,word_two_column,word_two_column,10.0,1877
1230,AI Market Growth,excel,Business,7.0,16
1234,München Startup Round,excel,Technology,8.0,21
1237,Weekend Match Buzz,excel,Sports,7.0,18
1453,Untitled record,ocr_image,ocr_image,8.43,843
1454,Untitled record,ocr_pdf,ocr_pdf,10.0,1024
1455,Untitled record,ocr_pdf,ocr_pdf,8.81,881
