record_id,title,document_type,category,rating_score,mentions,popularity,language,published_year
1,"Why EOS, Humm, New Hope, and Sims shares are storming higher today",news_api,news_api,1.81,,181.0,unknown,
2,SWDC partners FTID to boost S’West rural devt,news_api,news_api,2.26,,226.0,unknown,
3,"GATE 2026 final answer key not released yet, results likely to be out tomorrow: Check details here",news_api,news_api,2.6,,260.0,unknown,
4,LTM Named NVIDIA Partner Network ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026,news_api,news_api,2.6,,260.0,unknown,
5,"Asian stocks rally as oil retreats, Fed in spotlight",news_api,news_api,2.6,,260.0,unknown,
6,Trump administration defends Anthropic blacklisting in US court,news_api,news_api,2.6,,260.0,unknown,
7,Economic Digest: Nepal’s Business News in a Snap,news_api,news_api,2.6,,260.0,unknown,
8,"17 stocks including Tata Steel, SBI, Varun Beverages, Shree Cement, Wipro, Ceigall, NHPC, Paisalo, Strides Pharma will remain in focus on Wednesday",news_api,news_api,1.25,,125.0,unknown,
9,"Nvidia preparing Groq chips that can be sold in Chinese market, sources say",news_api,news_api,2.28,,228.0,unknown,
10,Heroes of Science and Fiction-TENOKE,news_api,news_api,2.6,,260.0,unknown,
11,Ghana’s Mining Investment Ranking Tumbles …Jinapor Expresses Concern,news_api,news_api,2.6,,260.0,unknown,
12,"I’ll Model Ghana Police After Scotland Yard, NYPD –IGP",news_api,news_api,2.6,,260.0,unknown,
13,NZ Dairy Industry Awards 2026: Olivia Sutton and Craig Dobbe win Auckland Hauraki share farmer title,news_api,news_api,0.76,,76.0,unknown,
14,Your next Galaxy may lose a key Samsung feature to cut costs,news_api,news_api,1.07,,107.0,unknown,
15,A New Study Challenges the Climate Establishment’s Key Warming Metric,news_api,news_api,2.6,,260.0,unknown,
16,Tesla sued for USD1 million after Cybertruck nearly drives off Houston overpass while FSD mode engaged,news_api,news_api,2.6,,260.0,unknown,
17,"Global Market | Nikkei jumps nearly 2% as AI, chip stocks rally",news_api,news_api,2.6,,260.0,unknown,
18,SAB BIO Announces Pricing of $85 Million Public Offering of Common Stock and Pre-Funded Warrants,news_api,news_api,2.6,,260.0,unknown,
19,"Why EOS, Humm, New Hope, and Sims shares are storming higher today",news_api,news_api,1.81,,181.0,unknown,
20,SWDC partners FTID to boost S’West rural devt,news_api,news_api,2.26,,226.0,unknown,
21,"GATE 2026 final answer key not released yet, results likely to be out tomorrow: Check details here",news_api,news_api,2.6,,260.0,unknown,
22,LTM Named NVIDIA Partner Network ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026,news_api,news_api,2.6,,260.0,unknown,
23,"Asian stocks rally as oil retreats, Fed in spotlight",news_api,news_api,2.6,,260.0,unknown,
24,Trump administration defends Anthropic blacklisting in US court,news_api,news_api,2.6,,260.0,unknown,
25,Economic Digest: Nepal’s Business News in a Snap,news_api,news_api,2.6,,260.0,unknown,
26,"17 stocks including Tata Steel, SBI, Varun Beverages, Shree Cement, Wipro, Ceigall, NHPC, Paisalo, Strides Pharma will remain in focus on Wednesday",news_api,news_api,1.25,,125.0,unknown,
27,"Nvidia preparing Groq chips that can be sold in Chinese market, sources say",news_api,news_api,2.28,,228.0,unknown,
28,Heroes of Science and Fiction-TENOKE,news_api,news_api,2.6,,260.0,unknown,
29,Ghana’s Mining Investment Ranking Tumbles …Jinapor Expresses Concern,news_api,news_api,2.6,,260.0,unknown,
30,"I’ll Model Ghana Police After Scotland Yard, NYPD –IGP",news_api,news_api,2.6,,260.0,unknown,
31,Tesla sued for USD1 million after Cybertruck nearly drives off Houston overpass while FSD mode engaged,json,json,2.6,,260.0,unknown,
32,"Global Market | Nikkei jumps nearly 2% as AI, chip stocks rally",json,json,2.6,,260.0,unknown,
33,SAB BIO Announces Pricing of $85 Million Public Offering of Common Stock and Pre-Funded Warrants,json,json,2.6,,260.0,unknown,
34,"Why EOS, Humm, New Hope, and Sims shares are storming higher today",json,json,1.81,,181.0,unknown,
35,SWDC partners FTID to boost S’West rural devt,json,json,2.26,,226.0,unknown,
36,"GATE 2026 final answer key not released yet, results likely to be out tomorrow: Check details here",json,json,2.6,,260.0,unknown,
37,LTM Named NVIDIA Partner Network ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026,json,json,2.6,,260.0,unknown,
38,"Asian stocks rally as oil retreats, Fed in spotlight",json,json,2.6,,260.0,unknown,
39,Trump administration defends Anthropic blacklisting in US court,json,json,2.6,,260.0,unknown,
40,Economic Digest: Nepal’s Business News in a Snap,json,json,2.6,,260.0,unknown,
41,"17 stocks including Tata Steel, SBI, Varun Beverages, Shree Cement, Wipro, Ceigall, NHPC, Paisalo, Strides Pharma will remain in focus on Wednesday",json,json,1.25,,125.0,unknown,
42,"Nvidia preparing Groq chips that can be sold in Chinese market, sources say",json,json,2.28,,228.0,unknown,
43,Heroes of Science and Fiction-TENOKE,json,json,2.6,,260.0,unknown,
44,Ghana’s Mining Investment Ranking Tumbles …Jinapor Expresses Concern,json,json,2.6,,260.0,unknown,
45,"I’ll Model Ghana Police After Scotland Yard, NYPD –IGP",json,json,2.6,,260.0,unknown,
46,Untitled record,pdf,pdf,10.0,,1019.0,unknown,
47,Untitled record,pdf,pdf,2.83,,283.0,unknown,
48,Untitled record,pdf_two_column,pdf_two_column,10.0,,2124.0,unknown,
49,Untitled record,pdf_two_column,pdf_two_column,3.6,,360.0,unknown,
50,Untitled record,word,word,10.0,,1080.0,unknown,
51,Untitled record,word_two_column,word_two_column,10.0,,1877.0,unknown,
52,Election Update,excel,Politics,4.0,34.0,34.0,unknown,2026.0
53,AI Market Growth,excel,Business,7.0,28.0,28.0,unknown,2026.0
54,Sports Highlights,excel,Sports,5.0,19.0,19.0,unknown,2026.0
55,Climate Policy Shift,excel,Politics,3.0,23.0,23.0,unknown,2026.0
56,Café Culture Trends,excel,Culture,6.0,14.0,14.0,unknown,2026.0
57,München Startup Round,excel,Technology,8.0,17.0,17.0,unknown,2026.0
58,Žurnal Election Pulse,excel,Politics,5.0,21.0,21.0,unknown,2026.0
59,Streaming Rights Watch,excel,Business,4.0,26.0,26.0,unknown,2026.0
60,Weekend Match Buzz,excel,Sports,7.0,31.0,31.0,unknown,2026.0
61,Inflation Briefing,excel,Business,2.0,22.0,22.0,unknown,2026.0
62,Untitled record,excel_summary,excel_summary,0.15,,15.0,unknown,
63,Tesla sued for USD1 million after Cybertruck nearly drives off Houston overpass while FSD mode engaged,json,json,2.6,,260.0,unknown,
64,"Global Market | Nikkei jumps nearly 2% as AI, chip stocks rally",json,json,2.6,,260.0,unknown,
65,SAB BIO Announces Pricing of $85 Million Public Offering of Common Stock and Pre-Funded Warrants,json,json,2.6,,260.0,unknown,
66,"Why EOS, Humm, New Hope, and Sims shares are storming higher today",json,json,1.81,,181.0,unknown,
67,SWDC partners FTID to boost S’West rural devt,json,json,2.26,,226.0,unknown,
68,"GATE 2026 final answer key not released yet, results likely to be out tomorrow: Check details here",json,json,2.6,,260.0,unknown,
69,LTM Named NVIDIA Partner Network ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026,json,json,2.6,,260.0,unknown,
70,"Asian stocks rally as oil retreats, Fed in spotlight",json,json,2.6,,260.0,unknown,
71,Trump administration defends Anthropic blacklisting in US court,json,json,2.6,,260.0,unknown,
72,Economic Digest: Nepal’s Business News in a Snap,json,json,2.6,,260.0,unknown,
73,"17 stocks including Tata Steel, SBI, Varun Beverages, Shree Cement, Wipro, Ceigall, NHPC, Paisalo, Strides Pharma will remain in focus on Wednesday",json,json,1.25,,125.0,unknown,
74,"Nvidia preparing Groq chips that can be sold in Chinese market, sources say",json,json,2.28,,228.0,unknown,
75,Heroes of Science and Fiction-TENOKE,json,json,2.6,,260.0,unknown,
76,Ghana’s Mining Investment Ranking Tumbles …Jinapor Expresses Concern,json,json,2.6,,260.0,unknown,
77,"I’ll Model Ghana Police After Scotland Yard, NYPD –IGP",json,json,2.6,,260.0,unknown,
78,Untitled record,pdf,pdf,10.0,,1019.0,unknown,
79,Untitled record,pdf,pdf,2.83,,283.0,unknown,
80,Untitled record,pdf_two_column,pdf_two_column,10.0,,2124.0,unknown,
81,Untitled record,pdf_two_column,pdf_two_column,3.6,,360.0,unknown,
82,Untitled record,word,word,10.0,,1080.0,unknown,
83,Untitled record,word_two_column,word_two_column,10.0,,1877.0,unknown,
84,Election Update,excel,Politics,4.0,34.0,34.0,unknown,2026.0
85,AI Market Growth,excel,Business,7.0,28.0,28.0,unknown,2026.0
86,Sports Highlights,excel,Sports,5.0,19.0,19.0,unknown,2026.0
87,Climate Policy Shift,excel,Politics,3.0,23.0,23.0,unknown,2026.0
88,Café Culture Trends,excel,Culture,6.0,14.0,14.0,unknown,2026.0
89,München Startup Round,excel,Technology,8.0,17.0,17.0,unknown,2026.0
90,Žurnal Election Pulse,excel,Politics,5.0,21.0,21.0,unknown,2026.0
91,Streaming Rights Watch,excel,Business,4.0,26.0,26.0,unknown,2026.0
92,Weekend Match Buzz,excel,Sports,7.0,31.0,31.0,unknown,2026.0
93,Inflation Briefing,excel,Business,2.0,22.0,22.0,unknown,2026.0
94,Untitled record,excel_summary,excel_summary,0.15,,15.0,unknown,
95,Tesla sued for USD1 million after Cybertruck nearly drives off Houston overpass while FSD mode engaged,json,json,2.6,,260.0,unknown,
96,"Global Market | Nikkei jumps nearly 2% as AI, chip stocks rally",json,json,2.6,,260.0,unknown,
97,SAB BIO Announces Pricing of $85 Million Public Offering of Common Stock and Pre-Funded Warrants,json,json,2.6,,260.0,unknown,
98,"Why EOS, Humm, New Hope, and Sims shares are storming higher today",json,json,1.81,,181.0,unknown,
99,SWDC partners FTID to boost S’West rural devt,json,json,2.26,,226.0,unknown,
