record_id,title,document_type,category,source_name,rating_score,language,content_length,published_year
1,"Why EOS, Humm, New Hope, and Sims shares are storming higher today",news_api,news_api,Motley Fool Australia,1.81,unknown,181,
2,SWDC partners FTID to boost S’West rural devt,news_api,news_api,The Punch,2.26,unknown,226,
3,"GATE 2026 final answer key not released yet, results likely to be out tomorrow: Check details here",news_api,news_api,The Times of India,2.6,unknown,260,
4,LTM Named NVIDIA Partner Network ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026,news_api,news_api,Financial Post,2.6,unknown,260,
5,"Asian stocks rally as oil retreats, Fed in spotlight",news_api,news_api,CNA,2.6,unknown,260,
6,Trump administration defends Anthropic blacklisting in US court,news_api,news_api,The Times of India,2.6,unknown,260,
7,Economic Digest: Nepal’s Business News in a Snap,news_api,news_api,Khabarhub.com,2.6,unknown,260,
8,"17 stocks including Tata Steel, SBI, Varun Beverages, Shree Cement, Wipro, Ceigall, NHPC, Paisalo, Strides Pharma will remain in focus on Wednesday",news_api,news_api,BusinessLine,1.25,unknown,125,
9,"Nvidia preparing Groq chips that can be sold in Chinese market, sources say",news_api,news_api,The Times of India,2.28,unknown,228,
10,Heroes of Science and Fiction-TENOKE,news_api,news_api,Rlsbb.to,2.6,unknown,260,
11,Ghana’s Mining Investment Ranking Tumbles …Jinapor Expresses Concern,news_api,news_api,Thechronicle.com.gh,2.6,unknown,260,
12,"I’ll Model Ghana Police After Scotland Yard, NYPD –IGP",news_api,news_api,Thechronicle.com.gh,2.6,unknown,260,
13,NZ Dairy Industry Awards 2026: Olivia Sutton and Craig Dobbe win Auckland Hauraki share farmer title,news_api,news_api,New Zealand Herald,0.76,unknown,76,
14,Your next Galaxy may lose a key Samsung feature to cut costs,news_api,news_api,PhoneArena,1.07,unknown,107,
15,A New Study Challenges the Climate Establishment’s Key Warming Metric,news_api,news_api,Globalresearch.ca,2.6,unknown,260,
16,Tesla sued for USD1 million after Cybertruck nearly drives off Houston overpass while FSD mode engaged,news_api,news_api,Paul Tan's Automotive News,2.6,unknown,260,
17,"Global Market | Nikkei jumps nearly 2% as AI, chip stocks rally",news_api,news_api,The Times of India,2.6,unknown,260,
18,SAB BIO Announces Pricing of $85 Million Public Offering of Common Stock and Pre-Funded Warrants,news_api,news_api,GlobeNewswire,2.6,unknown,260,
19,"Why EOS, Humm, New Hope, and Sims shares are storming higher today",news_api,news_api,Motley Fool Australia,1.81,unknown,181,
20,SWDC partners FTID to boost S’West rural devt,news_api,news_api,The Punch,2.26,unknown,226,
21,"GATE 2026 final answer key not released yet, results likely to be out tomorrow: Check details here",news_api,news_api,The Times of India,2.6,unknown,260,
22,LTM Named NVIDIA Partner Network ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026,news_api,news_api,Financial Post,2.6,unknown,260,
23,"Asian stocks rally as oil retreats, Fed in spotlight",news_api,news_api,CNA,2.6,unknown,260,
24,Trump administration defends Anthropic blacklisting in US court,news_api,news_api,The Times of India,2.6,unknown,260,
25,Economic Digest: Nepal’s Business News in a Snap,news_api,news_api,Khabarhub.com,2.6,unknown,260,
26,"17 stocks including Tata Steel, SBI, Varun Beverages, Shree Cement, Wipro, Ceigall, NHPC, Paisalo, Strides Pharma will remain in focus on Wednesday",news_api,news_api,BusinessLine,1.25,unknown,125,
27,"Nvidia preparing Groq chips that can be sold in Chinese market, sources say",news_api,news_api,The Times of India,2.28,unknown,228,
28,Heroes of Science and Fiction-TENOKE,news_api,news_api,Rlsbb.to,2.6,unknown,260,
29,Ghana’s Mining Investment Ranking Tumbles …Jinapor Expresses Concern,news_api,news_api,Thechronicle.com.gh,2.6,unknown,260,
30,"I’ll Model Ghana Police After Scotland Yard, NYPD –IGP",news_api,news_api,Thechronicle.com.gh,2.6,unknown,260,
