record_id,source_name,title,description,url,source_path,fetched_at,version,document_type,file_name,page_number,extraction_timestamp,extraction_library,text,category,published_date,preview_text,name,year,wins,losses,raw_text,processed_text,content_text,language,published_year,content_length,title_length,rating_score,overview,genres,popularity,original_language,vote_average,vote_count
52,bbc,Election Update,No content available.,,,,,excel,news_data.xlsx,,2026-04-01 02:10:53.221410,openpyxl,No content available.,politics,2026-03-20,No content available.,,,,,No content available.,No content available.,Election Update,unknown,2026,15,15,4.0,Election Update,politics,34.0,unknown,4.0,34.0
53,reuters,AI Market Growth,No content available.,,,,,excel,news_data.xlsx,,2026-04-01 02:10:53.221482,openpyxl,No content available.,business,2026-03-21,No content available.,,,,,No content available.,No content available.,AI Market Growth,unknown,2026,16,16,7.0,AI Market Growth,business,28.0,unknown,7.0,28.0
54,cnn,Sports Highlights,No content available.,,,,,excel,news_data.xlsx,,2026-04-01 02:10:53.221513,openpyxl,No content available.,sports,2026-03-21,No content available.,,,,,No content available.,No content available.,Sports Highlights,unknown,2026,17,17,5.0,Sports Highlights,sports,19.0,unknown,5.0,19.0
55,ap,Climate Policy Shift,No content available.,,,,,excel,news_data.xlsx,,2026-04-01 02:10:53.221541,openpyxl,No content available.,politics,2026-03-22,No content available.,,,,,No content available.,No content available.,Climate Policy Shift,unknown,2026,20,20,3.0,Climate Policy Shift,politics,23.0,unknown,3.0,23.0
56,le monde,Café Culture Trends,No content available.,,,,,excel,news_data.xlsx,,2026-04-01 02:10:53.221562,openpyxl,No content available.,culture,2026-03-22,No content available.,,,,,No content available.,No content available.,Café Culture Trends,unknown,2026,19,19,6.0,Café Culture Trends,culture,14.0,unknown,6.0,14.0
57,dw,München Startup Round,No content available.,,,,,excel,news_data.xlsx,,2026-04-01 02:10:53.221583,openpyxl,No content available.,technology,2026-03-23,No content available.,,,,,No content available.,No content available.,München Startup Round,unknown,2026,21,21,8.0,München Startup Round,technology,17.0,unknown,8.0,17.0
58,žurnal,Žurnal Election Pulse,No content available.,,,,,excel,news_data.xlsx,,2026-04-01 02:10:53.221602,openpyxl,No content available.,politics,2026-03-23,No content available.,,,,,No content available.,No content available.,Žurnal Election Pulse,unknown,2026,21,21,5.0,Žurnal Election Pulse,politics,21.0,unknown,5.0,21.0
59,financial times,Streaming Rights Watch,No content available.,,,,,excel,news_data.xlsx,,2026-04-01 02:10:53.221621,openpyxl,No content available.,business,2026-03-24,No content available.,,,,,No content available.,No content available.,Streaming Rights Watch,unknown,2026,22,22,4.0,Streaming Rights Watch,business,26.0,unknown,4.0,26.0
60,espn,Weekend Match Buzz,No content available.,,,,,excel,news_data.xlsx,,2026-04-01 02:10:53.221640,openpyxl,No content available.,sports,2026-03-24,No content available.,,,,,No content available.,No content available.,Weekend Match Buzz,unknown,2026,18,18,7.0,Weekend Match Buzz,sports,31.0,unknown,7.0,31.0
61,al jazeera,Inflation Briefing,No content available.,,,,,excel,news_data.xlsx,,2026-04-01 02:10:53.221659,openpyxl,No content available.,business,2026-03-25,No content available.,,,,,No content available.,No content available.,Inflation Briefing,unknown,2026,18,18,2.0,Inflation Briefing,business,22.0,unknown,2.0,22.0
1,motley fool australia,"Why EOS, Humm, New Hope, and Sims shares are storming higher today","These shares are having a good session on hump day. But why? The post Why EOS, Humm, New Hope, and Sims shares are storming higher today appeared first on The Motley Fool Australia.",https://www.fool.com.au/2026/03/18/why-eos-humm-new-hope-and-sims-shares-are-storming-higher-today/,,,,news_api,,,,,No content available.,news_api,,No content available.,,,,,No content available.,No content available.,"These shares are having a good session on hump day. But why? The post Why EOS, Humm, New Hope, and Sims shares are storming higher today appeared first on The Motley Fool Australia.",unknown,,181,66,1.81,"These shares are having a good session on hump day. But why? The post Why EOS, Humm, New Hope, and Sims shares are storming higher today appeared first on The Motley Fool Australia.",news_api,181.0,unknown,1.81,1.0
2,the punch,SWDC partners FTID to boost S’West rural devt,"The South-West Development Commission (SWDC) and FTID partner to boost South-West rural development, focusing on food production and infrastructure. Read More: https://punchng.com/swdc-partners-ftid-to-boost-swest-rural-devt/",https://punchng.com/swdc-partners-ftid-to-boost-swest-rural-devt/,,,,news_api,,,,,No content available.,news_api,,No content available.,,,,,No content available.,No content available.,"The South-West Development Commission (SWDC) and FTID partner to boost South-West rural development, focusing on food production and infrastructure. Read More: https://punchng.com/swdc-partners-ftid-to-boost-swest-rural-devt/",unknown,,226,45,2.26,"The South-West Development Commission (SWDC) and FTID partner to boost South-West rural development, focusing on food production and infrastructure. Read More: https://punchng.com/swdc-partners-ftid-to-boost-swest-rural-devt/",news_api,226.0,unknown,2.26,1.0
3,the times of india,"GATE 2026 final answer key not released yet, results likely to be out tomorrow: Check details here","The Indian Institute of Technology Guwahati has clarified that the GATE 2026 final answer key has not yet been released, dismissing reports claiming otherwise. Candidates have been advised to rely only on official updates on the GATE portals. The result is ex…",https://timesofindia.indiatimes.com/education/news/gate-2026-final-answer-key-not-released-yet-results-likely-to-be-out-tomorrow-check-details-here/articleshow/129645610.cms,,,,news_api,,,,,No content available.,news_api,,No content available.,,,,,No content available.,No content available.,"The Indian Institute of Technology Guwahati has clarified that the GATE 2026 final answer key has not yet been released, dismissing reports claiming otherwise. Candidates have been advised to rely only on official updates on the GATE portals. The result is ex…",unknown,,260,98,2.6,"The Indian Institute of Technology Guwahati has clarified that the GATE 2026 final answer key has not yet been released, dismissing reports claiming otherwise. Candidates have been advised to rely only on official updates on the GATE portals. The result is ex…",news_api,260.0,unknown,2.6,1.0
4,financial post,LTM Named NVIDIA Partner Network ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026,"MUMBAI, India — LTM, the Business Creativity partner to the world’s largest enterprises, has been recognized as the NVIDIA Partner Network (NPN) ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026. The award recognizes LTM’s strong collaboration w…",https://financialpost.com/pmn/business-wire-news-releases-pmn/ltm-named-nvidia-partner-network-rising-star-consulting-partner-of-the-year-at-nvidia-gtc-2026,,,,news_api,,,,,No content available.,news_api,,No content available.,,,,,No content available.,No content available.,"MUMBAI, India — LTM, the Business Creativity partner to the world’s largest enterprises, has been recognized as the NVIDIA Partner Network (NPN) ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026. The award recognizes LTM’s strong collaboration w…",unknown,,260,96,2.6,"MUMBAI, India — LTM, the Business Creativity partner to the world’s largest enterprises, has been recognized as the NVIDIA Partner Network (NPN) ‘Rising Star Consulting Partner of the Year’ at NVIDIA GTC 2026. The award recognizes LTM’s strong collaboration w…",news_api,260.0,unknown,2.6,1.0
